problem,avg_time,avg_iter,GD,IGD,Hypervolume,Spacing,Spread,Epsilon,Coverage,R2,Average_Hausdroff,Error_Ratio
JOS1_n=5,5.1978,16.11,4.7317,1.5776,3.6774,0.1465,1.0117,1.5687,0.0,-0.4745,4.7317,1.0
JOS1_n=10,3.656,19.31,12.5029,4.9602,0.0,0.6499,1.0135,4.1656,0.0,0.3938,12.5029,1.0
JOS1_n=20,7.4999,23.03,29.3144,11.9377,0.0,0.5537,1.0052,10.0426,0.0,2.4095,29.3144,1.0
JOS1_n=30,12.0562,25.32,45.058,19.5054,0.0,0.2341,0.9984,17.6816,0.0,6.747,45.058,1.0
JOS1_n=50,22.1851,26.62,81.6942,34.5283,0.0,1.9441,1.0047,31.126,0.0,9.7383,81.6942,1.0
JOS1_n=100,70.2157,27.0,175.6385,100.0061,0.0,1.3985,1.0008,100.4665,0.0,44.6394,175.6385,1.0
temp,1.2254,5.98,5.0381,1.5943,3.6206,0.1414,1.0127,1.5878,0.0,-0.4406,5.0381,1.0
temp_with_Linf,1.5874,12.91,4.1925,1.5671,3.8239,0.1278,0.999,1.5264,0.0,-0.4214,4.1925,1.0
"temp_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.6916,8.57,0.4908,0.0468,13.0457,0.0866,1.0245,0.0581,0.0,-0.852,0.4908,0.99
"temp_with_norm_constraint_Linf_g_type_('L1', {})_n=2",3.2559,0.0,6.5275,8.702,0.0,,,9.9744,0.0,1.5489,8.702,1.0
"temp_with_norm_constraint_Linf_g_type_('L1', {})_n=2",19.196,4.0,816.7667,818.0273,0.0,,,721.4308,0.0,355.4265,818.0273,1.0
"temp_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.5946,7.0,1.2925,2.794,7.0509,,,2.0909,0.0,-0.6693,2.794,1.0
"temp_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.0801,4.0,0.0044,3.744,0.0,,,4.0043,0.0,0.001,3.744,1.0
"temp_with_norm_constraint_Linf_g_type_('L1', {})_n=2",0.7213,0.0,14.1834,14.5845,0.0,,,11.8909,0.0,5.6082,14.5845,1.0
"temp_with_norm_constraint_Linf_g_type_('L1', {})_n=2",0.6927,1.0,18.2021,20.1266,0.0,,,21.1544,0.0,14.0066,20.1266,1.0
"temp_with_norm_constraint_Linf_g_type_('L1', {})_n=2",0.4854,0.0,7.8889,8.9135,0.0,,,9.03,0.0,3.8771,8.9135,1.0
"temp_with_norm_constraint_Linf_g_type_('L1', {})_n=2",0.4633,0.0,9.5245,11.7349,0.0,,,13.0934,0.0,5.5091,11.7349,1.0
"temp_with_norm_constraint_Linf_g_type_('L1', {})_n=2",0.4373,0.0,8.7364,11.0092,0.0,,,12.3802,0.0,1.8908,11.0092,1.0
"temp_with_norm_constraint_Linf_g_type_('L1', {})_n=2",0.7934,0.0,3.5626,6.25,0.0,,,7.4032,0.0,1.5686,6.25,1.0
"temp_with_norm_constraint_Linf_g_type_('L1', {})_n=2",0.7043,0.0,12.7764,14.6265,0.0,,,15.6347,0.0,2.2091,14.6265,1.0
"temp_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.0394,2.0,0.0571,2.5786,8.9523,,,1.0474,0.0,-0.0105,2.5786,1.0
"temp_with_norm_constraint_Linf_g_type_('L1', {})_n=2",0.8682,0.0,14.2041,14.8857,0.0,,,13.062,0.0,6.117,14.8857,1.0
"temp_with_norm_constraint_Linf_g_type_('L1', {})_n=2",0.8998,1.0,1.1549,2.4841,5.1582,,,2.129,0.0,-0.4315,2.4841,1.0
"temp_with_norm_constraint_Linf_g_type_('zero', {})_n=2",0.0946,2.0,0.4711,4.045,0.0,,,4.4708,0.0,0.4289,4.045,1.0
