problem,avg_time,avg_iter,GD,IGD,Hypervolume,Spacing,Spread,Epsilon,Coverage,R2,Average_Hausdroff,Error_Ratio
"JOS1, g = zero",0.5282,9.28,0.0008,0.0,81.7156,0.1228,1.0103,0.0,1.0,-2.2491,0.0008,0.41
"DGO1, g = zero",0.5085,5.44,1.0259,0.0,0.044,0.0086,1.0082,0.0,1.0,-0.0513,1.0259,0.78
"DGO1, g = L1",2.1182,0.51,1.8123,0.0,0.0,0.0761,1.0006,0.0,1.0,-0.0,1.8123,0.99
"DGO2, g = zero",0.5049,7.79,0.0,0.0,0.0,0.0,1.0134,0.0,1.0,-0.0,0.0,0.96
"DGO2, g = L1",4.8582,2.26,1.096,0.0,0.1864,0.7035,1.1303,0.0,1.0,-0.0841,1.096,0.7
"FA1, g = zero",1.3995,32.29,,,0.2967,,,0.0,1.0,,,0.92
"FA1, g = L1",2.3241,1.06,,,1.0811,,,0.0,1.0,,,0.83
"JOS1, g = L1",17.304,7.19,1.4976,0.0,88.8191,0.7223,1.0139,0.0,1.0,-2.3112,1.4976,0.47
"FAR1, g = zero",0.7183,17.69,0.2563,0.0,2.6968,0.1157,1.0113,0.0,1.0,-0.4052,0.2563,0.76
"AP1, g = zero",2.2787,51.33,0.6152,0.0,67.1156,0.6276,0.9942,0.0,1.0,-0.1609,0.6152,0.02
"FAR1, g = L1",2.396,1.0,0.3878,0.0,2.6922,0.1226,0.9708,0.0,1.0,-0.424,0.3878,0.87
"LOV1, g = zero",2.208,10.22,21.4707,0.0,2.1862,0.8882,0.9717,0.0,1.0,-0.1657,21.4707,0.97
"AP1, g = L1",8.3866,6.8,1.1507,0.0,79.1146,0.886,0.9754,0.0,1.0,-0.1925,1.1507,0.35
"AP2, g = zero",0.4492,6.11,0.0003,0.0,0.8056,0.0257,1.0262,0.0,1.0,-0.2297,0.0003,0.73
"AP2, g = L1",3.4237,1.53,0.2954,0.0,1.3735,0.0596,1.0063,0.0,1.0,-0.2821,0.2954,0.52
"LOV1, g = L1",7.371,2.54,25.7947,0.0,0.0,1.1701,0.927,0.0,1.0,-0.0,25.7947,0.98
"AP4, g = zero",2.4598,56.6,0.0,0.0,207.911,0.3137,0.9723,0.0,1.0,-0.2352,0.0,0.0
"AP4, g = L1",14.8407,16.33,11.6683,0.0,353.5107,11.466,1.1103,0.0,1.0,-0.3023,11.6683,0.16
"DGO1, g = zero",0.2724,5.73,1.116,0.0,0.0394,0.0098,1.0077,0.0,1.0,-0.0486,1.116,0.83
"DGO1, g = L1",1.2839,0.43,1.7369,0.0,0.0,0.0419,0.9917,0.0,1.0,-0.0,1.7369,0.99
"MOP2, g = zero",0.5954,13.84,0.1161,0.0,0.2826,0.0199,0.9978,0.0,1.0,-0.1163,0.1161,0.1
"DGO2, g = zero",0.2806,7.87,0.0,0.0,0.0,0.0,1.0251,0.0,1.0,-0.0,0.0,0.99
"DGO2, g = L1",4.679,2.4,1.5356,0.0,0.0321,0.6327,1.1285,0.0,1.0,-0.0328,1.5356,0.7
"MOP2, g = L1",6.6679,4.88,0.3356,0.0,0.3186,0.0266,0.9801,0.0,1.0,-0.1339,0.3356,0.48
"FA1, g = zero",0.4305,11.52,,,0.0806,,,0.0,1.0,,,0.94
"SD, g = zero",1.7788,10.52,0.1289,0.0,9.7269,0.0877,0.9687,0.0,1.0,-0.706,0.1289,0.54
"FA1, g = L1",2.2567,1.02,,,0.2772,,,0.0,1.0,,,0.91
"FAR1, g = zero",1.2039,23.86,0.2129,0.0,2.9375,0.0947,1.0116,0.0,1.0,-0.3895,0.2129,0.61
"FAR1, g = L1",5.7685,2.88,0.3281,0.0,2.5393,0.095,0.9758,0.0,1.0,-0.3506,0.3281,0.8
"LOV1, g = zero",2.4012,10.69,24.2528,0.0,0.0138,0.8124,0.9711,0.0,1.0,-0.0214,24.2528,0.97
"SD, g = L1",19.9099,9.54,0.2842,0.0,11.2563,0.1014,0.9467,0.0,1.0,-0.7642,0.2842,0.67
"TOI4, g = zero",0.9202,8.76,4.2673,0.0,1.3796,0.5872,1.0339,0.0,1.0,-0.2861,4.2673,0.91
"LOV1, g = L1",7.9777,2.51,24.253,0.0,12.8731,1.1813,0.9387,0.0,1.0,-0.7819,24.253,0.97
"TOI4, g = L1",14.0335,9.77,2.9876,0.0,0.3967,0.5146,0.9815,0.0,1.0,-0.0828,2.9876,0.94
"TRIDIA, g = zero",0.5865,7.97,17.2894,0.0,135562.8348,3.76,0.94,0.0,1.0,-5.0893,17.2894,0.78
"TRIDIA, g = L1",18.0244,15.68,35.0874,0.0,1664.6775,9.512,0.9619,0.0,1.0,-1.1524,35.0874,0.86
