problem,avg_time,avg_iter,GD,IGD,Hypervolume,Spacing,Spread,Epsilon,Coverage,R2,Average_Hausdroff,Error_Ratio
"JOS1, g = zero",0.5422,9.28,0.0008,0.0,82.7005,0.0692,1.0073,0.0,1.0,-2.1941,0.0008,0.39
"FDS, g = zero",1.7768,18.19,1.5961,0.0,12.6091,1.5889,1.0504,0.0,1.0,-0.1274,1.5961,0.055
"DGO1, g = zero",0.7518,4.88,1.1105,0.0,0.0438,0.0034,1.0035,0.0,1.0,-0.0546,1.1105,0.76
"MOP2, g = zero",1.7716,13.54,0.1176,0.0,0.2981,0.0115,1.0044,0.0,1.0,-0.1219,0.1176,0.095
"JOS1, g = L1",16.2095,6.9828,5.6059,0.0,85.3028,4.3661,1.162,0.0,1.0,-2.2503,5.6059,0.1552
"AP1, g = zero",5.4548,52.945,0.1807,0.0,61.2402,0.1952,0.989,0.0,1.0,-0.1596,0.1807,0.02
"MOP2, g = L1",17.9501,5.9563,0.2388,0.0,0.3029,0.0107,0.9924,0.0,1.0,-0.1329,0.2388,0.3279
"SD, g = zero",3.3336,10.425,0.0996,0.0,10.3082,0.0416,0.9636,0.0,1.0,-0.6787,0.0996,0.615
"DGO1, g = L1",8.7762,2.2915,1.225,0.0,0.0871,0.0285,1.003,0.0,1.0,-0.0707,1.225,0.8693
"FDS, g = L1",30.0002,7.9886,0.0833,0.0,11.5094,0.0917,0.9848,0.0,1.0,-0.1165,0.0833,0.142
"DGO2, g = zero",0.8653,7.845,0.0,0.0,0.0,0.0,1.0103,0.0,1.0,-0.0,0.0,0.98
"FF1, g = zero",0.0265,0.13,0.1914,0.0,0.0352,0.0185,1.0359,0.0,1.0,-0.0383,0.1914,0.945
"FF1, g = L1",5.1467,0.599,0.9796,0.0,0.1355,0.0332,0.9833,0.0,1.0,-0.0736,0.9796,0.9543
"IKK1, g = zero",0.7867,3.815,3.0675,0.0,51.3843,0.1609,0.9753,0.0,1.0,-0.4035,3.0675,0.505
"AP1, g = L1",32.9512,8.3029,1.8428,0.0,82.9541,1.78,1.0297,0.0,1.0,-0.2047,1.8428,0.1886
"AP2, g = zero",0.7098,5.935,0.0003,0.0,0.8207,0.0094,1.0149,0.0,1.0,-0.2086,0.0003,0.695
"IKK1, g = L1",14.1945,3.0,2.6867,0.0,43.4189,0.1686,0.9579,0.0,1.0,-0.385,2.6867,0.6505
"BK1, g = zero",1.305,8.22,0.0011,0.0,105.4222,0.2097,1.007,0.0,1.0,-1.9977,0.0011,0.33
"DGO2, g = L1",14.4272,5.3571,0.869,0.0,0.0608,0.8236,1.2401,0.0,1.0,-0.0438,0.869,0.619
"FA1, g = zero",1.4885,17.57,,,0.0156,,,0.0,1.0,,,0.98
"FA1, g = L1",8.2903,2.2165,,,0.765,,,0.0,1.0,,,0.9124
"SD, g = L1",51.8519,9.3846,0.1321,0.0,8.644,0.0738,0.9666,0.0,1.0,-0.6318,0.1321,0.5385
"TOI4, g = zero",0.7289,8.72,3.9327,0.0,0.6884,0.1408,1.0033,0.0,1.0,-0.0468,3.9327,0.955
"BK1, g = L1",17.6961,4.8794,0.0492,0.0,185.2213,0.2194,1.0023,0.0,1.0,-2.798,0.0492,0.3617
"FAR1, g = zero",1.6633,20.34,0.238,0.0,3.414,0.064,1.0073,0.0,1.0,-0.4204,0.238,0.76
"AP2, g = L1",5.8501,2.5959,0.0093,0.0,1.1752,0.008,0.9952,0.0,1.0,-0.2503,0.0093,0.3973
"ZDT2, g = zero",2.6944,9.49,0.6711,0.0,0.2204,0.0749,1.002,0.0,1.0,-0.0173,0.6711,0.96
"FAR1, g = L1",8.6633,1.4479,0.2813,0.0,3.5784,0.058,0.9889,0.0,1.0,-0.4376,0.2813,0.875
"AP4, g = zero",11.1379,62.14,4.4237,0.0,339.7329,3.3648,1.0146,0.0,1.0,-0.2159,4.4237,0.03
"LOV1, g = zero",5.0589,10.44,24.9663,0.0,0.0,0.4723,0.9714,0.0,1.0,-0.0,24.9663,0.99
"ZDT2, g = L1",21.147,3.0609,3.7147,0.0,0.2661,0.1007,0.9687,0.0,1.0,-0.1211,3.7147,0.9797
"POLONI, g = zero",3.4793,11.83,4.5905,0.0,358.0754,0.4783,1.0198,0.0,1.0,-4.3103,4.5905,0.725
"TOI4, g = L1",47.6184,10.5321,3.8029,0.0,0.3303,0.4399,0.9722,0.0,1.0,-0.0544,3.8029,0.9174
"TRIDIA, g = zero",1.9624,8.02,21.0572,0.0,34590.35,4.1272,0.9726,0.0,1.0,-2.5709,21.0572,0.775
"LOV1, g = L1",20.2405,3.0357,25.5732,0.0,0.0,0.9412,0.9347,0.0,1.0,-0.0,25.5732,0.9881
"AP4, g = L1",58.8634,16.125,4.0807,0.0,286.4768,2.5217,0.9972,0.0,1.0,-0.27,4.0807,0.0882
"POLONI, g = L1",38.6743,9.8607,6.9201,0.0,412.6241,1.5742,1.0189,0.0,1.0,-5.0171,6.9201,0.6967
"TRIDIA, g = L1",29.8219,13.8073,36.6798,0.0,9822.7196,4.7928,0.972,0.0,1.0,-2.3027,36.6798,0.8716
