problem,avg_time,avg_iter,GD,IGD,Hypervolume,Spacing,Spread,Epsilon,Coverage,R2,Average_Hausdroff,Error_Ratio
"JOS1, g = zero",0.6117,9.3067,0.0008,0.0,82.2307,0.1323,1.0116,0.0,1.0,-2.363,0.0008,0.44
"FDS, g = zero",1.4322,15.9,0.0742,0.0,17.1574,0.1309,0.989,0.0,1.0,-0.1203,0.0742,0.0733
"DGO1, g = zero",0.8981,5.6533,1.0726,0.0,0.0443,0.008,1.0066,0.0,1.0,-0.0535,1.0726,0.7933
"MOP2, g = zero",1.8588,14.3733,0.1567,0.0,0.2954,0.0087,0.9919,0.0,1.0,-0.1231,0.1567,0.16
"MOP2, g = L1",17.0951,5.5735,0.3521,0.0,0.2978,0.0119,0.986,0.0,1.0,-0.1278,0.3521,0.4044
"SD, g = zero",2.8454,10.24,0.1566,0.0,11.176,0.1023,0.9787,0.0,1.0,-0.7828,0.1566,0.5333
"FDS, g = L1",24.1236,6.194,0.029,0.0,16.4749,0.0803,0.9798,0.0,1.0,-0.1517,0.029,0.0896
"FF1, g = zero",0.0184,0.0867,0.1538,0.0,0.0365,0.0147,1.0354,0.0,1.0,-0.0386,0.1538,0.9333
"FF1, g = L1",4.4339,0.7466,0.9528,0.0,0.0953,0.0385,0.9727,0.0,1.0,-0.0633,0.9528,0.9452
"IKK1, g = zero",0.5091,3.1,1.0253,0.0,132.1204,0.1767,0.9597,0.0,1.0,-0.5344,1.0253,0.4
"JOS1, g = L1",30.9861,6.4,3.2769,0.0,49.1997,3.2181,1.1137,0.0,1.0,-1.6641,3.2769,0.1714
"DGO1, g = L1",10.4613,2.8389,1.0998,0.0,0.1155,0.0288,0.9974,0.0,1.0,-0.0866,1.0998,0.8389
"DGO2, g = zero",0.9555,7.9067,0.0,0.0,0.0,0.0,1.0238,0.0,1.0,-0.0,0.0,0.9533
"IKK1, g = L1",8.4236,1.9407,2.2406,0.0,33.5124,0.1991,0.9124,0.0,1.0,-0.3501,2.2406,0.6741
"BK1, g = zero",1.5024,8.16,0.001,0.0,130.5632,0.2457,1.0071,0.0,1.0,-2.2149,0.001,0.28
"AP1, g = zero",6.1531,48.6933,0.264,0.0,64.5816,0.2774,0.9874,0.0,1.0,-0.16,0.264,0.04
"SD, g = L1",45.1321,9.1176,0.1358,0.0,9.2689,0.0642,0.9659,0.0,1.0,-0.6613,0.1358,0.5059
"BK1, g = L1",21.505,5.0,0.0438,0.0,158.802,0.2073,1.0005,0.0,1.0,-2.8073,0.0438,0.22
"TOI4, g = zero",1.4415,8.6667,4.6291,0.0,0.0095,0.4157,1.0243,0.0,1.0,-0.0061,4.6291,0.96
"ZDT2, g = zero",2.9297,9.7333,1.508,0.0,5.0768,0.0801,0.9963,0.0,1.0,-0.3258,1.508,0.96
"DGO2, g = L1",11.7328,4.2903,0.0194,0.0,0.0965,0.0151,1.004,0.0,1.0,-0.0471,0.0194,0.3656
"AP1, g = L1",27.8318,7.7311,0.678,0.0,44.0467,0.395,0.9811,0.0,1.0,-0.1896,0.678,0.1092
"AP2, g = zero",0.6653,5.58,0.0003,0.0,0.8199,0.0146,1.0212,0.0,1.0,-0.2162,0.0003,0.66
"FA1, g = zero",1.4582,22.76,,,0.0026,,,0.0,1.0,,,0.9667
"FA1, g = L1",7.1545,1.4014,,,0.281,,,0.0,1.0,,,0.9252
"FAR1, g = zero",2.2966,20.8533,0.2145,0.0,2.3058,0.0854,1.0128,0.0,1.0,-0.3515,0.2145,0.7467
"ZDT2, g = L1",18.3645,3.0544,4.1999,0.0,0.0,0.0954,0.9656,0.0,1.0,-0.0,4.1999,0.9864
"POLONI, g = zero",3.5819,12.62,4.4904,0.0,409.8572,0.6331,1.0119,0.0,1.0,-4.8154,4.4904,0.6533
"FAR1, g = L1",7.001,1.8671,0.2125,0.0,3.8099,0.0869,0.9964,0.0,1.0,-0.4626,0.2125,0.8182
"LOV1, g = zero",3.7772,10.28,24.7922,0.0,0.0,0.5703,0.9685,0.0,1.0,-0.0,24.7922,0.9867
"AP2, g = L1",7.8751,1.3084,0.011,0.0,1.1737,0.0167,0.9997,0.0,1.0,-0.2672,0.011,0.4486
"AP4, g = zero",8.9266,59.6933,0.0,0.0,268.9652,0.3172,0.9771,0.0,1.0,-0.2323,0.0,0.0
"TOI4, g = L1",43.4148,13.869,3.774,0.0,0.6111,0.5577,0.9992,0.0,1.0,-0.1502,3.774,0.8929
"TRIDIA, g = zero",1.4869,8.2933,15.454,0.0,85290.3245,4.0376,0.9337,0.0,1.0,-3.1059,15.454,0.7467
"POLONI, g = L1",29.7771,6.6897,8.6269,0.0,415.9265,1.7374,1.002,0.0,1.0,-4.6364,8.6269,0.7126
"LOV1, g = L1",16.2252,4.5954,58.5006,0.0,0.0,0.9907,0.9269,0.0,1.0,-0.0,58.5006,0.9924
"AP4, g = L1",42.6982,17.1635,0.5753,0.0,293.3194,0.6389,0.9632,0.0,1.0,-0.2573,0.5753,0.0769
"TRIDIA, g = L1",27.0162,10.764,30.9217,0.0,1152.324,8.9616,1.0377,0.0,1.0,-0.8004,30.9217,0.809
