x,z,dx,dz,t,F1,F2
"[-1.476285, 2.278072]","[2.679859, -4.857932]","[0.551371, -0.575622]","[-0.599873, 1.175495]",1.0,250.44542,600.884487
"[-0.924914, 1.702451]","[2.079987, -3.682437]","[0.536645, -0.571308]","[-0.605971, 1.177279]",1.0,83.506156,279.44402
"[-0.388269, 1.131142]","[1.474016, -2.505158]","[0.193405, -0.397802]","[-0.602198, 1.0]",1.0,18.355856,116.242062
"[-0.194864, 0.733341]","[0.871818, -1.505158]","[0.256243, -0.418748]","[-0.581252, 1.0]",0.5,2.37139,56.271198
"[-0.066742, 0.523967]","[0.581192, -1.005158]","[0.319355, -0.439785]","[-0.560215, 1.0]",0.25,0.473821,40.893394
"[0.013097, 0.414021]","[0.441138, -0.755159]","[0.365878, -0.455293]","[-0.544708, 1.0]",0.25,0.153616,35.547825
"[0.104566, 0.300198]","[0.304961, -0.505158]","[0.428068, -0.476062]","[-0.524055, 1.000116]",0.125,0.032861,31.430019
"[0.158075, 0.24069]","[0.239454, -0.380144]","[0.469178, -0.489837]","[-0.510496, 1.000334]",0.125,0.011905,29.727671
"[0.216722, 0.17946]","[0.175642, -0.255102]","[0.513163, -0.504234]","[-0.495305, 0.99954]",0.0625,0.003868,28.242331
"[0.248794, 0.147946]","[0.144686, -0.192631]","[0.535947, -0.511514]","[-0.48708, 0.998594]",0.03125,0.002597,27.567082
"[0.265543, 0.131961]","[0.129464, -0.161425]","[0.188345, -0.175071]","[-0.161798, 0.336869]",0.03125,0.002391,27.245645
"[0.271429, 0.12649]","[0.124408, -0.150898]","[0.0, 0.0]","[0.0, 0.0]",1.0,0.002376,27.138025
