problem,avg_time,avg_iter,GD,IGD,Hypervolume,Spacing,Spread,Epsilon,Coverage,R2,Average_Hausdroff,Error_Ratio
MOP4,0.2708,97.12,1.1321,8.8521,422.3294,0.7569,0.9463,4.7029,0.84,-4.9437,8.8521,1.0
MOP3,0.1579,58.7,15.3826,4.6097,0.0,0.5736,0.9894,5.0674,0.0,0.4654,15.3826,1.0
MOP2,0.0039,2.92,0.4352,0.0697,0.2459,0.0671,1.0381,0.0951,0.0,-0.121,0.4352,1.0
JOS1,0.0028,2.0,0.3406,0.0315,12.4731,0.166,1.0273,0.0389,0.0,-0.9361,0.3406,0.26
MOP5,0.0011,1.0,686.2235,56.7162,0.0,43.1876,0.8889,50.8982,0.0,10.9722,686.2235,1.0
MOP4,0.3023,99.86,1.2877,8.6478,434.6885,0.761,0.9591,3.455,0.87,-4.7651,8.6478,1.0
MOP3,0.1775,68.62,14.2259,4.6089,0.0,0.7435,1.0045,5.0866,0.0,0.5433,14.2259,1.0
MOP2,0.0047,3.56,0.4516,0.1192,0.216,0.09,1.0592,0.1586,0.0,-0.1103,0.4516,1.0
JOS1,0.0037,2.0,0.4828,0.0201,12.6317,0.1277,1.0238,0.0248,0.0,-0.8482,0.4828,0.28
MOP5,0.0011,1.22,848.9106,16.7762,0.0,52.6267,0.8847,16.2853,0.0,3.8646,848.9106,1.0
