Problem,m,n,g(x),avg_time,avg_iter,GD,Hypervolume,Spacing,Spread,Average_Hausdroff,Error_Ratio,R2,Coverage
AP1,3,2,l1,32.9512,8.3029,1.8428,82.9541,1.78,1.0297,1.8428,0.1886,-0.2047,1.0
AP1,3,2,0,5.4548,52.945,0.1807,61.2402,0.1952,0.989,0.1807,0.02,-0.1596,1.0
AP2,2,1,l1,5.8501,2.5959,0.0093,1.1752,0.008,0.9952,0.0093,0.3973,-0.2503,1.0
AP2,2,1,0,0.7098,5.935,0.0003,0.8207,0.0094,1.0149,0.0003,0.695,-0.2086,1.0
AP4,3,3,l1,58.8634,16.125,4.0807,286.4768,2.5217,0.9972,4.0807,0.0882,-0.27,1.0
AP4,3,3,0,11.1379,62.14,4.4237,339.7329,3.3648,1.0146,4.4237,0.03,-0.2159,1.0
DGO2,2,1,l1,14.4272,5.3571,0.869,0.0608,0.8236,1.2401,0.869,0.619,-0.0438,1.0
DGO2,2,1,0,0.8653,7.845,0.0,0.0,0.0,1.0103,0.0,0.98,-0.0,1.0
FDS,3,2,l1,30.0002,7.9886,0.0833,11.5094,0.0917,0.9848,0.0833,0.142,-0.1165,1.0
FDS,3,2,0,1.7768,18.19,1.5961,12.6091,1.5889,1.0504,1.5961,0.055,-0.1274,1.0
JOS1,2,5,l1,16.2095,6.9828,5.6059,85.3028,4.3661,1.162,5.6059,0.1552,-2.2503,1.0
JOS1,2,5,0,0.5422,9.28,0.0008,82.7005,0.0692,1.0073,0.0008,0.39,-2.1941,1.0
LOV1,2,2,l1,20.2405,3.0357,25.5732,0.0,0.9412,0.9347,25.5732,0.9881,-0.0,1.0
LOV1,2,2,0,5.0589,10.44,24.9663,0.0,0.4723,0.9714,24.9663,0.99,-0.0,1.0
MOP2,2,2,l1,17.9501,5.9563,0.2388,0.3029,0.0107,0.9924,0.2388,0.3279,-0.1329,1.0
MOP2,2,2,0,1.7716,13.54,0.1176,0.2981,0.0115,1.0044,0.1176,0.095,-0.1219,1.0
POLONI,2,2,l1,38.6743,9.8607,6.9201,412.6241,1.5742,1.0189,6.9201,0.6967,-5.0171,1.0
POLONI,2,2,0,3.4793,11.83,4.5905,358.0754,0.4783,1.0198,4.5905,0.725,-4.3103,1.0
SD,2,4,l1,51.8519,9.3846,0.1321,8.644,0.0738,0.9666,0.1321,0.5385,-0.6318,1.0
SD,2,4,0,3.3336,10.425,0.0996,10.3082,0.0416,0.9636,0.0996,0.615,-0.6787,1.0
TOI4,2,4,l1,47.6184,10.5321,3.8029,0.3303,0.4399,0.9722,3.8029,0.9174,-0.0544,1.0
TOI4,2,4,0,0.7289,8.72,3.9327,0.6884,0.1408,1.0033,3.9327,0.955,-0.0468,1.0
TRIDIA,3,3,l1,29.8219,13.8073,36.6798,9822.7196,4.7928,0.972,36.6798,0.8716,-2.3027,1.0
TRIDIA,3,3,0,1.9624,8.02,21.0572,34590.35,4.1272,0.9726,21.0572,0.775,-2.5709,1.0
