problem,avg_time,avg_iter,GD,IGD,Hypervolume,Spacing,Spread,Epsilon,Coverage,R2,Average_Hausdroff,Error_Ratio
"JOS1, g = zero",0.2616,26.32,0.0,0.0,13.1733,0.0469,1.01,0.0,1.0,-0.9212,0.0,0.0
"JOS1, g = L1",0.6391,19.8667,0.0,0.0,15.1237,0.0445,1.0055,0.0,1.0,-0.9849,0.0,0.0
"SD, g = zero",0.322,1.22,0.288,0.0,15.1575,0.0677,0.9443,0.0,1.0,-0.8419,0.288,0.6867
"SD, g = L1",1.8617,1.0,0.26,0.0,17.3656,0.0851,0.9615,0.0,1.0,-0.9001,0.26,0.72
"AP1, g = zero",2.0149,17.3667,0.0,0.0,54.7267,0.0868,0.9802,0.0,1.0,-0.1481,0.0,0.0
"AP1, g = L1",2.8334,13.52,0.0,0.0,81.9529,0.1763,0.9898,0.0,1.0,-0.2656,0.0,0.0
"FDS, g = zero",1.356,9.8,0.0,0.0,15.3338,0.0697,0.9783,0.0,1.0,-0.1362,0.0,0.0
"FDS, g = L1",2.7001,8.8467,0.0,0.0,13.7411,0.082,0.9813,0.0,1.0,-0.1728,0.0,0.0
"AP2, g = zero",0.1425,4.7267,0.0,0.0,0.8111,0.0134,1.0168,0.0,1.0,-0.2238,0.0,0.0
"AP2, g = L1",0.3047,2.7067,0.0,0.0,2.0222,0.023,1.017,0.0,1.0,-0.3871,0.0,0.0
"AP4, g = zero",3.3484,49.7333,0.0,0.0,214.0211,0.2633,0.9771,0.0,1.0,-0.2076,0.0,0.0
"AP4, g = L1",5.1256,39.76,0.0,0.0,301.6836,0.2486,0.9719,0.0,1.0,-0.3211,0.0,0.0
"BK1, g = zero",0.1437,11.6933,0.0,0.0,145.0475,0.3865,1.0129,0.0,1.0,-2.6961,0.0,0.0
"BK1, g = L1",0.2725,4.5,0.0,0.0,169.2706,0.2603,1.0087,0.0,1.0,-2.8395,0.0,0.0
"FF1, g = zero",0.3884,12.8133,0.1602,0.0,0.0356,0.0154,1.0286,0.0,1.0,-0.0399,0.1602,0.9067
"FF1, g = L1",3.5074,13.9867,0.3433,0.0,0.38,0.0421,0.9963,0.0,1.0,-0.133,0.3433,0.8
"IKK1, g = zero",1.5637,3.2533,1.8661,0.0,87.4769,0.2064,0.9582,0.0,1.0,-0.5036,1.8661,0.1933
"IKK1, g = L1",3.4333,7.8067,0.0,0.0,12.9947,0.0788,1.0107,0.0,1.0,-0.1961,0.0,0.0
"ZDT2, g = zero",0.0787,2.0133,4.3919,0.0,0.1989,0.0327,0.9879,0.0,1.0,-0.1031,4.3919,0.9267
"ZDT2, g = L1",0.2195,2.9733,0.0,0.0,0.2185,0.0268,1.0308,0.0,1.0,-0.1034,0.0,0.0
"POLONI, g = zero",0.2325,14.5867,3.0199,0.0,407.6626,0.2985,1.0048,0.0,1.0,-4.5549,3.0199,0.4867
"POLONI, g = L1",0.9776,19.32,2.4665,0.0,409.1006,0.4096,1.0108,0.0,1.0,-4.9352,2.4665,0.2733
"DGO1, g = zero",0.0678,3.6133,1.0312,0.0,0.0443,0.0056,1.0071,0.0,1.0,-0.0519,1.0312,0.3533
"DGO1, g = L1",0.2809,2.22,1.2232,0.0,0.3851,0.0161,1.0009,0.0,1.0,-0.1615,1.2232,0.5
"DGO2, g = zero",0.9165,37.9133,0.0,0.0,0.0,0.0,1.2911,0.0,1.0,-0.0,0.0,0.0067
"DGO2, g = L1",0.7684,7.6533,0.0,0.0,0.4862,0.0135,1.0074,0.0,1.0,-0.1433,0.0,0.0
"LOV1, g = zero",0.0927,3.6733,42.5625,0.0,0.0,0.7699,1.0175,0.0,1.0,-0.0,42.5625,0.66
"LOV1, g = L1",0.2565,3.5867,43.2785,0.0,0.0,0.4448,1.0139,0.0,1.0,-0.0,43.2785,0.7467
"FA1, g = zero",0.5072,6.6133,,,0.6606,,,0.0,1.0,,,0.9533
"FA1, g = L1",1.1096,7.2133,,,0.559,,,0.0,1.0,,,0.92
"FAR1, g = zero",1.0262,22.4533,0.1976,0.0,3.2882,0.0823,1.014,0.0,1.0,-0.4524,0.1976,0.6467
"FAR1, g = L1",2.0745,12.16,0.3602,0.0,4.4198,0.088,0.9895,0.0,1.0,-0.5012,0.3602,0.7267
"MOP2, g = zero",0.555,44.4867,0.0363,0.0,0.2826,0.036,1.0052,0.0,1.0,-0.1132,0.0363,0.02
"MOP2, g = L1",0.8742,21.0267,0.0202,0.0,0.2184,0.0072,1.0068,0.0,1.0,-0.1055,0.0202,0.3067
"TOI4, g = zero",0.1847,7.7067,4.4027,0.0,0.0001,0.1241,0.9947,0.0,1.0,-0.0,4.4027,0.96
"TOI4, g = L1",1.213,18.3667,0.0,0.0,1.0556,0.0191,1.0052,0.0,1.0,-0.1817,0.0,0.0
"TRIDIA, g = zero",2.5477,8.96,29.9009,0.0,8767.4826,4.2756,0.9418,0.0,1.0,-1.5264,29.9009,0.8333
"TRIDIA, g = L1",7.4515,75.56,0.0,0.0,1754.8164,0.2613,1.0048,0.0,1.0,-1.3843,0.0,0.0
